"","YEAR","MONTH","TEMPERATURE","CITY","DATE"
"1",1967,"JAN",999.9,"Bogota",1967-01-01
"2",1968,"JAN",12.2,"Bogota",1968-01-01
"3",1969,"JAN",12.8,"Bogota",1969-01-01
"4",1970,"JAN",999.9,"Bogota",1970-01-01
"5",1971,"JAN",12.8,"Bogota",1971-01-01
"6",1972,"JAN",12.9,"Bogota",1972-01-01
"7",1973,"JAN",13.6,"Bogota",1973-01-01
"8",1974,"JAN",12.2,"Bogota",1974-01-01
"9",1975,"JAN",12.3,"Bogota",1975-01-01
"10",1976,"JAN",12.2,"Bogota",1976-01-01
"11",1977,"JAN",999.9,"Bogota",1977-01-01
"12",1978,"JAN",999.9,"Bogota",1978-01-01
"13",1979,"JAN",999.9,"Bogota",1979-01-01
"14",1980,"JAN",13.4,"Bogota",1980-01-01
"15",1981,"JAN",12.4,"Bogota",1981-01-01
"16",1982,"JAN",12.6,"Bogota",1982-01-01
"17",1983,"JAN",14,"Bogota",1983-01-01
"18",1984,"JAN",12.3,"Bogota",1984-01-01
"19",1985,"JAN",12.3,"Bogota",1985-01-01
"20",1986,"JAN",13,"Bogota",1986-01-01
"21",1987,"JAN",13,"Bogota",1987-01-01
"22",1988,"JAN",13,"Bogota",1988-01-01
"23",1989,"JAN",12.7,"Bogota",1989-01-01
"24",1990,"JAN",13.2,"Bogota",1990-01-01
"25",1991,"JAN",13.3,"Bogota",1991-01-01
"26",1992,"JAN",13.5,"Bogota",1992-01-01
"27",1993,"JAN",13.8,"Bogota",1993-01-01
"28",1994,"JAN",13.2,"Bogota",1994-01-01
"29",1995,"JAN",12.5,"Bogota",1995-01-01
"30",1996,"JAN",11.1,"Bogota",1996-01-01
"31",1997,"JAN",999.9,"Bogota",1997-01-01
"32",1998,"JAN",14.2,"Bogota",1998-01-01
"33",1999,"JAN",13.2,"Bogota",1999-01-01
"34",2000,"JAN",12.5,"Bogota",2000-01-01
"35",2001,"JAN",12.2,"Bogota",2001-01-01
"36",2002,"JAN",13.5,"Bogota",2002-01-01
"37",2003,"JAN",13.6,"Bogota",2003-01-01
"38",2004,"JAN",12.8,"Bogota",2004-01-01
"39",2005,"JAN",999.9,"Bogota",2005-01-01
"40",2006,"JAN",13.5,"Bogota",2006-01-01
"41",2007,"JAN",13.7,"Bogota",2007-01-01
"42",2008,"JAN",12.9,"Bogota",2008-01-01
"43",2009,"JAN",13.2,"Bogota",2009-01-01
"44",2010,"JAN",13.6,"Bogota",2010-01-01
